============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 4500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+00 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.0229E+04  4.1139E+03  5.5386E+03
0000002   4.1254E+04 -2.0110E+04  7.8571E+01
0000003   4.6403E+04  1.1643E+04 -4.5740E+03
0000004   5.3885E+04 -7.4515E+03 -2.2407E+03
0000005   5.4119E+04 -6.9994E+02 -6.2332E+03
0000006   5.3878E+04 -3.0927E+03 -9.3574E+03
0000007   4.9811E+04 -2.7085E+03  9.2941E+03
0000008   4.8169E+04 -3.8191E+03 -4.0019E+03
0000009   4.9178E+04 -2.3515E+03 -2.2202E+03
0000010   4.5750E+04  2.4783E+03 -1.2694E+04
0000011   4.8615E+04 -4.6183E+02 -7.9282E+03
0000012   5.0280E+04  4.7162E+03  4.8542E+03
0000013   5.0386E+04 -5.3090E+03  6.9092E+03
0000014   4.8080E+04  1.1471E+04  8.5528E+01
0000015   5.3570E+04 -2.0226E+03  1.1507E+03
0000016   5.1921E+04 -6.7404E+03  1.0193E+03
0000017   5.3006E+04 -6.1505E+03 -2.3476E+01
0000018   4.8280E+04 -8.8526E+03  1.7183E+03
0000019   4.9162E+04  7.4453E+03  2.9311E+03
0000020   4.9717E+04  2.9537E+03 -1.8970E+03
0000021   3.8127E+04  1.4127E+04 -8.6506E+03
0000022   5.5360E+04 -5.4199E+03 -6.6512E+02
0000023   5.3299E+04  2.6679E+02 -3.0768E+03
0000024   5.5433E+04  5.4016E+02 -1.8002E+03
0000025   5.2797E+04  6.9233E+03 -6.2874E+03
0000026   4.3660E+04  7.4228E+02  3.1093E+03
0000027   5.1296E+04 -5.2480E+03 -3.0405E+03
0000028   4.9199E+04  4.8696E+03  3.5628E+03
0000029   4.9002E+04  3.7463E+03 -2.1135E+03
0000030   5.2817E+04  3.1519E+03 -2.8995E+03
0000031   4.9745E+04 -5.3801E+03  3.7609E+03
0000032   4.7777E+04 -1.1645E+04  5.0864E+03
0000033   5.1584E+04  9.1348E+03 -5.1208E+03
0000034   4.7715E+04 -2.9499E+03 -4.9776E+03
0000035   4.1954E+04  2.1830E+01 -7.2469E+03
0000036   5.3729E+04 -2.4925E+03  1.7519E+03
0000037   4.8543E+04 -2.8517E+03 -1.1184E+04
0000038   4.8711E+04 -1.1920E+04  4.7166E+03
0000039   4.7892E+04  2.5749E+03  6.0435E+03
0000040   1.0361E+04  1.5520E+04  2.5261E+03
0000041   4.8795E+04  9.3606E+03 -8.1302E+03
0000042   4.7562E+04  7.4566E+02  2.8122E+03
0000043   4.4488E+04  3.4010E+03  8.0411E+02
0000044   5.4276E+04 -6.9985E+03 -4.7421E+03
0000045   5.0140E+04  7.3165E+03 -2.8623E+03
0000046   5.1254E+04 -3.7004E+01  1.8518E+03
0000047   5.0893E+04  1.1451E+03  7.2476E+03
0000048   4.9010E+04  1.9883E+03  1.0610E+04
0000049   5.1618E+04 -1.0969E+04 -3.2766E+03
0000050   4.2152E+04  5.1916E+03 -1.8064E+04
0000051   3.9758E+04  2.4640E+03  3.9045E+03
0000052   5.2504E+04 -5.6001E+03  3.7704E+03
0000053   5.4176E+04  1.5477E+03 -2.7983E+02
0000054   4.9277E+04  1.0936E+03 -6.5084E+03
0000055   5.2308E+04 -5.8272E+03  1.1117E+04
0000056   4.9040E+04  6.3256E+02  4.9796E+03
0000057   5.3149E+04  4.5076E+03 -5.7612E+03
0000058   5.1089E+04 -9.3710E+03  7.9088E+03
0000059   4.7378E+04 -6.6545E+03 -1.6770E+04
0000060   5.3438E+04 -4.6212E+02  3.0957E+03
0000061   5.1305E+04  1.8854E+03 -8.4056E+03
0000062   5.0988E+04 -3.4690E+03 -2.1425E+03
0000063   5.0680E+04 -5.0643E+03  8.7852E+03
0000064   5.0536E+04  5.5266E+03  3.5736E+03
0000065   4.8768E+04  1.2361E+04 -6.7090E+02
0000066   5.0068E+04 -1.4364E+03  4.0453E+03
0000067   5.0719E+04  1.0804E+04  1.0205E+04
0000068   5.3007E+04 -1.8704E+03  9.8583E+03
0000069   5.1938E+04  6.3075E+03 -1.8753E+01
0000070   5.0016E+04 -3.8376E+03 -1.3559E+04
0000071   4.9328E+04 -6.0229E+03  6.6045E+03
0000072   5.0070E+04 -4.7769E+02 -5.9507E+03
0000073   4.7576E+04 -7.3085E+03 -9.2563E+03
0000074   4.9219E+04 -1.0284E+04  7.8498E+03
0000075   5.0866E+04 -4.7087E+03  8.1298E+03
0000076   5.3768E+04 -1.4759E+03 -3.6018E+03
0000077   5.1150E+04 -4.2174E+02 -4.2106E+03
0000078   5.1983E+04 -2.1387E+03  3.3303E+03
0000079   4.7180E+04 -4.5546E+03 -1.3810E+03
0000080   4.8905E+04  4.2494E+03 -1.1258E+04
0000081   5.1417E+04  1.9717E+03  6.3840E+03
0000082   4.9190E+04  8.0990E+02  3.8022E+03
0000083   5.3029E+04 -3.4808E+03 -7.8046E+03
0000084   5.5125E+04  1.5882E+02 -2.5449E+03
0000085   5.0634E+04 -2.1465E+02  6.2751E+03
0000086   5.1808E+04  4.3194E+03 -7.0156E+03
0000087   4.8550E+04  1.1829E+04  6.0833E+03
0000088   5.0042E+04  8.3076E+03  1.5765E+03
0000089   5.0024E+04  3.0470E+03  7.6757E+03
0000090   5.2601E+04 -1.2415E+03  3.2167E+03
0000091   5.3443E+04  1.2180E+04  5.6406E+02
0000092   5.2130E+04 -8.7409E+03  5.8160E+03
0000093   4.9446E+04  3.8948E+03  1.2050E+04
0000094   5.2648E+04 -5.0223E+02 -4.5382E+03
0000095   4.6253E+04  4.3921E+03 -1.7276E+03
0000096   4.0082E+04 -1.3250E+03  3.5960E+02
0000097   5.1644E+04 -9.3525E+03  3.5872E+03
0000098   4.7620E+04 -2.3702E+03 -6.2880E+03
0000099   5.0696E+04  1.4625E+03  9.8197E+02
0000100   5.3120E+04 -4.9675E+03 -6.7932E+03
0000101   5.2596E+04 -1.0076E+04 -7.0445E+02
0000102   5.3602E+04 -5.5625E+01 -4.4445E+03
0000103   5.0884E+04 -4.3640E+02  2.4875E+03
0000104   4.8974E+04 -5.9654E+03  1.2035E+04
0000105   5.0005E+04  1.9321E+03  3.8798E+03
0000106   5.3530E+04  2.1916E+03  2.3659E+03
