============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Cu (29)   Ion Mass= 062.9300
Energy  = 2000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.5872E+04  3.2809E+03  4.1658E+03
0000002   2.7098E+04  3.5027E+03  2.5668E+03
0000003   3.2863E+04  1.8066E+03  9.1445E+03
0000004   3.2781E+04 -5.4434E+03  5.7657E+03
0000005   3.6969E+04 -4.3484E+03 -3.2141E+03
0000006   3.5702E+04 -3.0789E+03 -2.2923E+03
0000007   3.1307E+04 -7.2616E+03 -6.2483E+03
0000008   3.2641E+04  2.3566E+03  1.0718E+03
0000009   3.6031E+04  6.0622E+03 -1.3212E+02
0000010   3.1450E+04 -5.0866E+03 -9.3587E+02
0000011   3.2473E+04 -1.4163E+01 -3.2608E+03
0000012   2.9411E+04 -1.2979E+03  5.0859E+03
0000013   3.3178E+04  1.5745E+03  2.4844E+03
0000014   3.0846E+04  1.1547E+03  2.6119E+02
0000015   3.4641E+04 -3.5698E+02 -3.8057E+03
0000016   3.6592E+04 -3.0121E+03  1.2971E+03
0000017   2.6094E+04  3.4869E+03  2.2437E+03
0000018   3.3757E+04 -3.9992E+03 -8.4477E+02
0000019   3.7366E+04 -3.3575E+03 -3.6030E+03
0000020   3.5863E+04 -2.5729E+03 -2.8148E+03
0000021   3.3369E+04  8.9782E+03 -4.3291E+02
0000022   3.2081E+04  7.6852E+02  8.9580E+02
0000023   3.2744E+04  1.6143E+03 -2.4660E+03
0000024   3.3169E+04 -3.7208E+03 -5.7668E+03
0000025   3.5048E+04 -1.6707E+03  9.7620E+02
0000026   2.4241E+04 -6.0514E+03  1.3663E+03
0000027   2.8239E+04 -3.1209E+03  5.7557E+03
0000028   3.8504E+04 -5.7827E+03 -3.3064E+03
0000029   3.6992E+04  2.5520E+03  1.6542E+02
0000030   3.7163E+04  1.2253E+03  9.3602E+02
0000031   3.1078E+04  2.0073E+03 -7.4968E+02
0000032   3.5768E+04 -5.1535E+03 -2.1430E+03
0000033   3.1036E+04  1.2858E+03 -2.8540E+02
0000034   3.6391E+04  7.3761E+03 -1.3931E+03
0000035   3.6831E+04  1.9986E+03  2.5209E+03
0000036   3.0124E+04  7.0032E+03 -2.8956E+03
0000037   3.1977E+04 -9.4066E+02  8.0550E+02
0000038   3.5393E+04 -4.6015E+03  1.4621E+03
0000039   3.1632E+04  6.8800E+03 -5.0793E+02
0000040   3.1104E+04 -1.8509E+03 -1.2704E+04
0000041   3.5419E+04 -3.6678E+02 -3.9103E+03
0000042   3.4534E+04 -9.7929E+03  3.6306E+03
0000043   3.2005E+04 -4.7248E+03 -3.1996E+03
0000044   2.9090E+04  7.5857E+03 -3.5876E+03
0000045   3.6965E+04  1.0784E+03 -2.9263E+03
0000046   3.1767E+04 -2.8799E+01 -8.7057E+03
0000047   3.3330E+04 -8.6531E+03  1.9290E+03
0000048   3.5469E+04 -4.6251E+03 -7.7905E+03
0000049   3.0837E+04  4.8175E+03 -4.7269E+03
0000050   1.6029E+04 -7.9415E+02  1.0001E+03
0000051   3.0324E+04 -7.9467E+03  2.1286E+03
0000052   3.3317E+04  1.9909E+03 -1.1079E+04
0000053   3.1138E+04 -1.9470E+03 -1.8203E+03
0000054   3.0741E+04 -4.2577E+03  2.3720E+03
0000055   3.5858E+04 -3.3295E+03  3.9409E+03
0000056   3.6159E+04 -1.8803E+03  2.3471E+03
0000057   3.1973E+04  5.4656E+03 -6.4377E+03
0000058   3.5463E+04 -1.1409E+03 -1.6880E+03
0000059   3.3854E+04  1.3238E+03 -9.1784E+03
0000060   3.2323E+04  2.8548E+02  3.0587E+02
0000061   3.5358E+04  5.0612E+03 -3.0575E+03
0000062   3.8767E+04  2.5679E+03 -1.9141E+03
0000063   2.4117E+04  5.2787E+03  1.5059E+04
0000064   3.2015E+04 -4.3538E+03  8.1989E+02
0000065   3.2834E+04 -1.0570E+04 -5.9794E+03
0000066   3.6508E+04 -2.7242E+03  6.0571E+03
0000067   3.8145E+04  2.6364E+03 -1.0450E+02
0000068   3.3264E+04  5.8072E+03  5.0247E+03
0000069   3.2149E+04 -7.3008E+03 -8.6965E+03
0000070   3.7126E+04 -1.3980E+03  4.3789E+01
0000071   3.2830E+04 -4.0602E+03 -1.3189E+03
0000072   3.6698E+04 -2.7031E+03 -1.6313E+03
0000073   3.4974E+04 -6.7798E+03  3.9594E+03
0000074   2.5698E+04  1.2756E+04 -5.8780E+03
0000075   3.7359E+04  2.2745E+03 -1.5937E+03
0000076   3.7506E+04 -1.0622E+03  3.1394E+02
0000077   3.3930E+04  8.2763E+03  2.5286E+03
0000078   3.2839E+04 -3.7790E+02 -1.7899E+03
0000079   3.2763E+04  3.2139E+03 -4.4667E+03
0000080   3.3678E+04 -5.0121E+03  2.8423E+03
0000081   3.3753E+04  6.5303E+02 -5.8499E+03
0000082   3.1629E+04  5.3089E+02  6.8737E+03
0000083   3.4529E+04 -5.0885E+03  2.9957E+03
0000084   2.9870E+04 -6.6848E+03 -1.8915E+02
0000085   3.6665E+04  1.8314E+03 -3.3839E+03
0000086   3.6388E+04 -5.4393E+03  7.8416E+03
0000087   3.5354E+04  7.3682E+03 -9.6017E+02
0000088   2.6117E+04  4.6346E+03 -6.0859E+03
0000089   3.6623E+04  1.2181E+03  1.1297E+03
0000090   3.2883E+04 -3.7429E+03  4.8204E+03
0000091   3.1897E+04  2.5991E+03  1.9156E+03
0000092   3.2034E+04 -4.8548E+03  2.1749E+03
0000093   3.6099E+04 -3.9487E+03 -4.1281E+03
0000094   3.4035E+04 -5.5525E+03  5.3092E+03
0000095   3.4348E+04  9.3581E+03 -6.1801E+02
0000096   3.6279E+04  3.7187E+03  6.8212E+02
0000097   3.3532E+04 -2.5424E+03  6.1987E+03
0000098   3.6993E+04  4.0336E+03  1.7092E+03
0000099   2.8436E+04 -1.8652E+03 -4.6184E+03
0000100   3.0231E+04 -4.1503E+03  1.5285E+02
0000101   3.3041E+04  6.5309E+03  5.5968E+01
0000102   3.6659E+04  3.7853E+03 -3.7056E+03
0000103   3.4341E+04  4.8849E+03  3.7846E+03
0000104   3.0933E+04 -2.5986E+03  1.1813E+03
0000105   3.6429E+04  7.0228E+03 -1.1189E+03
0000106   3.8039E+04  1.0063E+03 -1.1951E+03
