====== Ni (35000) into Layer 1                  =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ni   Energy = 25000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     7.E+04 A ;
  Layer # 1- Density = 9.127E22 atoms/cm3 = 8.895 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =43624.93
 Total Target Vacancies     = 14301 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
700010.E-03  6947.24E-06  6482.58E-05  
140001.E-02  7362.08E-06  6778.87E-05  
210001.E-02  7563.27E-06  6820.71E-05  
280001.E-02  7768.89E-06  7303.18E-05  
350001.E-02  8009.41E-06  7544.15E-05  
420001.E-02  8252.56E-06  8140.37E-05  
490001.E-02  8491.31E-06  8349.33E-05  
560001.E-02  8748.83E-06  9172.46E-05  
630001.E-02  8995.61E-06  8861.38E-05  
700001.E-02  9252.38E-06  1010.13E-04  
770001.E-02  9578.40E-06  1025.75E-04  
840001.E-02  9886.75E-06  1032.31E-04  
910001.E-02  1015.12E-05  1086.07E-04  
980001.E-02  1050.13E-05  1158.77E-04  
105000.E-01  1088.35E-05  1202.76E-04  
112000.E-01  1119.40E-05  1237.61E-04  
119000.E-01  1159.18E-05  1305.15E-04  
126000.E-01  1196.37E-05  1393.15E-04  
133000.E-01  1236.05E-05  1422.66E-04  
140000.E-01  1279.75E-05  1507.90E-04  
147000.E-01  1319.63E-05  1558.86E-04  
154000.E-01  1361.18E-05  1648.21E-04  
161000.E-01  1409.99E-05  1723.93E-04  
168000.E-01  1461.85E-05  1818.93E-04  
175000.E-01  1511.13E-05  1904.62E-04  
182000.E-01  1555.39E-05  1897.15E-04  
189000.E-01  1608.02E-05  2092.58E-04  
196000.E-01  1669.29E-05  2158.27E-04  
203000.E-01  1722.40E-05  2236.03E-04  
210000.E-01  1783.44E-05  2407.38E-04  
217000.E-01  1846.12E-05  2555.20E-04  
224000.E-01  1915.32E-05  2689.85E-04  
231000.E-01  1984.99E-05  2773.84E-04  
238000.E-01  2055.86E-05  2932.69E-04  
245000.E-01  2133.40E-05  2993.69E-04  
252000.E-01  2212.17E-05  3277.32E-04  
259000.E-01  2297.37E-05  3484.99E-04  
266000.E-01  2403.46E-05  3610.32E-04  
273000.E-01  2490.97E-05  3838.58E-04  
280000.E-01  2591.58E-05  3992.16E-04  
287000.E-01  2696.98E-05  4220.05E-04  
294000.E-01  2813.49E-05  4590.35E-04  
301000.E-01  2934.27E-05  4813.51E-04  
308000.E-01  3050.51E-05  5108.11E-04  
315000.E-01  3161.78E-05  5463.93E-04  
322000.E-01  3265.61E-05  5763.28E-04  
329000.E-01  3351.86E-05  6244.32E-04  
336000.E-01  3440.95E-05  6607.90E-04  
343000.E-01  3480.39E-05  6884.30E-04  
350000.E-01  3568.07E-05  7297.18E-04  
357000.E-01  3660.31E-05  7658.70E-04  
364000.E-01  3735.86E-05  7919.28E-04  
371000.E-01  3723.92E-05  7845.83E-04  
378000.E-01  3676.63E-05  7809.28E-04  
385000.E-01  3496.24E-05  7247.54E-04  
392000.E-01  3177.82E-05  6690.86E-04  
399000.E-01  2766.37E-05  5676.93E-04  
406000.E-01  2272.63E-05  4582.52E-04  
413000.E-01  1730.81E-05  3406.57E-04  
420000.E-01  1164.49E-05  2266.12E-04  
427000.E-01  7092.70E-06  1326.67E-04  
434000.E-01  3731.68E-06  6742.36E-05  
441000.E-01  1528.61E-06  2555.16E-05  
448000.E-01  5458.54E-07  9059.24E-06  
455000.E-01  1296.44E-07  2010.33E-06  
462000.E-01  3467.87E-08  6047.74E-07  
469000.E-01  7466.24E-09  1137.46E-07  
476000.E-01  1440.85E-09  5388.81E-08  
483000.E-01  0000.00E+00  0000.00E+00  
490000.E-01  0000.00E+00  0000.00E+00  
497000.E-01  0000.00E+00  0000.00E+00  
504000.E-01  0000.00E+00  0000.00E+00  
511000.E-01  0000.00E+00  0000.00E+00  
518000.E-01  0000.00E+00  0000.00E+00  
525000.E-01  0000.00E+00  0000.00E+00  
532000.E-01  0000.00E+00  0000.00E+00  
539000.E-01  0000.00E+00  0000.00E+00  
546000.E-01  0000.00E+00  0000.00E+00  
553000.E-01  0000.00E+00  0000.00E+00  
560000.E-01  0000.00E+00  0000.00E+00  
567000.E-01  0000.00E+00  0000.00E+00  
574000.E-01  0000.00E+00  0000.00E+00  
581000.E-01  0000.00E+00  0000.00E+00  
588000.E-01  0000.00E+00  0000.00E+00  
595000.E-01  0000.00E+00  0000.00E+00  
602000.E-01  0000.00E+00  0000.00E+00  
609000.E-01  0000.00E+00  0000.00E+00  
616000.E-01  0000.00E+00  0000.00E+00  
623000.E-01  0000.00E+00  0000.00E+00  
630000.E-01  0000.00E+00  0000.00E+00  
637000.E-01  0000.00E+00  0000.00E+00  
644000.E-01  0000.00E+00  0000.00E+00  
651000.E-01  0000.00E+00  0000.00E+00  
658000.E-01  0000.00E+00  0000.00E+00  
665000.E-01  0000.00E+00  0000.00E+00  
672000.E-01  0000.00E+00  0000.00E+00  
679000.E-01  0000.00E+00  0000.00E+00  
686000.E-01  0000.00E+00  0000.00E+00  
693000.E-01  0000.00E+00  0000.00E+00  
700000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
