============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 2500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   3.7466E+04  5.6563E+03  5.8320E+03
0000101   3.7539E+04  4.7895E+03 -5.4267E+03
0000102   3.3851E+04 -8.2299E+03  1.0088E+04
0000103   4.0125E+04 -4.4426E+03  5.8576E+03
0000104   4.0188E+04  1.5410E+03  3.3352E+03
0000105   3.9027E+04  7.0303E+03  2.1964E+03
0000106   4.0731E+04 -1.4692E+03 -2.6143E+03
0000107   3.5125E+04  4.2477E+03 -3.8357E+02
0000108   3.3928E+04 -2.3027E+03 -2.5573E+03
0000109   3.8472E+04  9.4438E+03 -6.6564E+03
0000110   3.7367E+04 -1.8826E+03 -4.0847E+03
0000111   3.6276E+04 -3.5603E+03 -6.4261E+03
0000112   4.1957E+04 -4.6217E+03 -6.6485E+03
0000113   4.0259E+04 -1.0321E+04 -5.3935E+03
0000114   3.9327E+04  8.7011E+02 -3.6340E+03
0000115   4.0074E+04  5.5992E+03 -1.6558E+03
0000116   4.0345E+04  1.3962E+03 -1.5446E+02
0000117   3.7564E+04 -5.4694E+03 -1.0274E+04
0000118   3.9262E+04 -1.7962E+03  4.0006E+03
0000119   3.8388E+04  4.6188E+03 -2.1746E+02
0000120   3.6224E+04  4.0162E+03 -9.3431E+03
0000121   3.5319E+04  1.7247E+03 -2.1352E+03
0000122   3.6717E+04 -5.1025E+03  1.4348E+03
0000123   3.6859E+04 -1.8824E+03 -5.5759E+03
0000124   3.8356E+04  6.3742E+03 -2.0049E+03
0000125   4.1335E+04 -2.0738E+03 -8.4370E+03
0000126   3.4980E+04  8.2730E+03  8.8203E+03
0000127   4.1162E+04  1.0799E+03  6.1398E+03
0000128   2.8307E+04 -2.8287E+03  5.1497E+03
0000129   3.5915E+04 -5.0020E+03  6.5614E+03
0000130   3.4266E+04 -1.0743E+03 -4.8659E+02
0000131   3.8559E+04  2.0855E+03 -5.6727E+03
0000132   4.2364E+04  1.3697E+03 -4.6536E+03
0000133   4.1730E+04 -4.9432E+03 -1.1953E+03
0000134   4.0804E+04  3.6525E+01  5.5515E+03
0000135   3.8972E+04  1.0708E+04  2.2459E+03
0000136   3.7373E+04 -5.7285E+03 -2.2394E+03
0000137   3.6618E+04 -1.1519E+04 -5.4463E+03
0000138   3.7231E+04  8.1983E+03 -8.4648E+03
0000139   3.8912E+04  6.3340E+02 -2.6825E+03
0000140   4.0814E+04 -6.5506E+03 -6.5556E+03
0000141   4.3527E+04 -2.2946E+03 -3.2431E+03
0000142   3.7973E+04  1.6665E+03 -3.9763E+03
0000143   4.3071E+04 -7.3914E+02  4.4229E+03
0000144   4.2019E+04 -5.4014E+03 -5.6295E+03
0000145   4.1466E+04  3.3796E+03  3.0944E+03
0000146   3.3241E+04 -1.2282E+04 -6.6513E+03
0000147   3.8318E+04 -4.1603E+03 -1.4842E+02
0000148   4.2066E+04 -3.3233E+03  3.6295E+03
0000149   2.2868E+04 -3.7081E+03 -1.8435E+03
0000150   2.8431E+04  2.6635E+03 -3.6660E+02
0000151   4.0816E+04 -3.0984E+02  1.3228E+03
0000152   3.7869E+04  1.1103E+04  8.1640E+02
0000153   3.3193E+04 -1.2259E+03 -5.2321E+03
0000154   3.4067E+04 -3.4145E+03  2.7847E+03
0000155   3.8702E+04 -1.1100E+04 -1.5739E+03
0000156   3.4952E+04 -9.3809E+02 -1.9514E+03
0000157   3.7849E+04 -5.9757E+03 -1.1787E+03
0000158   3.8043E+04  9.8666E+03 -7.6762E+02
0000159   3.8463E+04 -2.7955E+03 -1.0867E+03
0000160   3.1623E+04  2.5092E+03 -4.0712E+03
0000161   4.0683E+04 -1.8751E+03 -5.5846E+03
0000162   3.6661E+04 -6.0982E+03 -1.0618E+04
0000163   3.7601E+04  3.2499E+02  4.7790E+03
0000164   3.5771E+04 -1.2446E+03  5.1571E+03
0000165   4.0949E+04 -6.4175E+03  1.1206E+03
