============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Cu (29)   Ion Mass= 062.9300
Energy  = 3000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   3.7573E+04 -5.2427E+03 -7.3633E+03
0000101   4.1957E+04 -3.3546E+03  4.2943E+03
0000102   4.2861E+04  1.9063E+03 -7.4247E+03
0000103   4.3693E+04  6.9474E+02  1.0438E+03
0000104   4.3649E+04 -5.4617E+03  1.0538E+04
0000105   4.1545E+04  7.7354E+03 -6.7940E+03
0000106   3.8346E+04  1.1708E+04 -3.2284E+03
0000107   4.2504E+04 -5.0202E+03  6.9042E+03
0000108   3.8668E+04 -3.0076E+03 -5.0542E+03
0000109   3.9144E+04  1.1341E+03 -7.9520E+03
0000110   1.7132E+04  2.0418E+03  1.6007E+03
0000111   4.3780E+04 -6.1115E+03 -9.9516E+02
0000112   3.9212E+04  5.0029E+03 -2.1912E+03
0000113   4.2381E+04  1.9603E+03 -9.7486E+02
0000114   4.6284E+04 -3.7077E+03 -5.2432E+03
0000115   4.3006E+04  3.9988E+03 -8.6863E+03
0000116   4.4143E+04  8.5626E+02 -1.4869E+03
0000117   4.3142E+04 -8.3036E+03 -2.7539E+03
0000118   4.0467E+04  3.8145E+03 -1.4503E+03
0000119   4.3586E+04  8.7594E+03 -8.8399E+03
0000120   3.9413E+04  6.3039E+03  4.2610E+03
0000121   4.5078E+04 -1.4822E+03 -2.0246E+03
0000122   4.0459E+04  7.2004E+03 -8.6209E+03
0000123   4.0383E+04 -3.1690E+02 -2.5826E+02
0000124   4.1586E+04  6.6293E+03  5.4573E+03
0000125   3.5408E+04  3.1171E+03 -8.9511E+03
0000126   4.2722E+04 -2.6201E+03  2.7044E+03
0000127   3.9268E+04  5.4441E+03 -1.0900E+03
0000128   3.9151E+04  7.3944E+03  6.8646E+03
0000129   4.4607E+04 -5.2640E+03  2.4162E+03
0000130   3.6791E+04  3.3194E+03 -4.6384E+03
0000131   3.9237E+04  1.0153E+03  1.3860E+03
0000132   4.2945E+04  8.8035E+02 -5.3759E+03
0000133   4.1569E+04  4.9652E+03 -3.0260E+03
0000134   4.5155E+04  2.9515E+03  2.1696E+02
0000135   4.3551E+04 -2.6493E+03  1.1819E+03
0000136   4.3084E+04  4.4513E+03  2.9272E+03
0000137   4.1660E+04  5.5444E+03  9.4005E+03
0000138   3.9879E+04  3.3861E+02  4.2111E+03
0000139   4.0296E+04  1.2539E+04  3.3314E+03
0000140   4.0214E+04  4.8754E+02 -9.7837E+03
0000141   4.2648E+04  3.6008E+03 -4.0127E+03
0000142   4.4898E+04 -5.4132E+03 -4.6448E+03
0000143   4.4374E+04 -1.3379E+03 -4.2078E+03
0000144   4.0854E+04  3.9915E+03  6.9068E+03
0000145   4.6105E+04  2.5470E+03  1.7040E+03
0000146   4.3656E+04  4.5536E+02  5.3491E+03
0000147   4.4205E+04 -2.4469E+03 -3.7274E+03
0000148   3.4163E+04  3.1521E+03  1.3728E+03
0000149   4.2012E+04  2.9606E+03 -1.2525E+03
0000150   4.5702E+04 -4.5381E+03 -2.7415E+03
0000151   4.1269E+04  1.8068E+03 -1.2157E+03
0000152   2.0593E+04 -1.1041E+04  4.9518E+03
0000153   4.2298E+04 -2.8347E+03  3.3755E+03
0000154   1.7019E+04 -1.5809E+04  5.0575E+03
0000155   3.8320E+04  4.7672E+03  2.2566E+03
0000156   4.0241E+04 -4.6283E+03 -7.0934E+02
0000157   4.0365E+04  3.8457E+02  1.4326E+04
0000158   4.1002E+04  4.5871E+03 -9.2886E+03
0000159   4.1199E+04  1.2056E+04 -5.3833E+03
0000160   4.0892E+04 -8.4162E+03 -6.6682E+03
0000161   4.5480E+04 -3.5359E+03  2.0453E+03
0000162   3.6326E+04  4.0653E+03  2.4993E+03
0000163   4.3344E+04 -1.9718E+03 -5.9700E+02
0000164   3.4248E+04  2.7414E+03 -4.8979E+03
0000165   3.8736E+04  6.3262E+03  7.4097E+02
0000166   3.3756E+04  1.8814E+03  1.6408E+03
0000167   3.8946E+04 -6.7771E+03 -1.7989E+03
0000168   4.2097E+04 -1.9250E+02  3.9212E+03
0000169   4.2088E+04  3.0742E+03 -3.1317E+03
0000170   4.5366E+04 -1.5039E+03  3.4007E+03
0000171   3.8835E+04  2.6847E+03  1.3306E+03
0000172   4.0727E+04  5.5930E+02 -3.8183E+02
0000173   3.9959E+04 -4.2248E+03  1.1656E+04
0000174   4.2265E+04 -9.3122E+03  1.4932E+03
0000175   3.4320E+04 -6.6994E+03  4.0690E+03
0000176   4.3621E+04 -5.8431E+03  1.6276E+03
0000177   4.4873E+04 -4.4348E+03  6.0177E+03
0000178   4.1658E+04  5.3943E+03 -1.9166E+03
0000179   3.2361E+04 -2.4907E+03 -1.3271E+03
