====== Ni (35000) into Layer 1                  =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ni   Energy = 30000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     7.E+04 A ;
  Layer # 1- Density = 9.127E22 atoms/cm3 = 8.895 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =40735.96
 Total Target Vacancies     = 14526 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
700010.E-03  6195.05E-06  5667.75E-05  
140001.E-02  6536.98E-06  5878.23E-05  
210001.E-02  6705.52E-06  5938.27E-05  
280001.E-02  6883.07E-06  6295.13E-05  
350001.E-02  7044.28E-06  6671.66E-05  
420001.E-02  7260.77E-06  7111.98E-05  
490001.E-02  7471.99E-06  7116.50E-05  
560001.E-02  7682.58E-06  7229.06E-05  
630001.E-02  7884.29E-06  7746.21E-05  
700001.E-02  8115.05E-06  7902.35E-05  
770001.E-02  8362.53E-06  7919.03E-05  
840001.E-02  8624.53E-06  8903.08E-05  
910001.E-02  8868.93E-06  9231.85E-05  
980001.E-02  9154.88E-06  9140.44E-05  
105000.E-01  9410.08E-06  9669.70E-05  
112000.E-01  9723.35E-06  9962.05E-05  
119000.E-01  9987.66E-06  1107.23E-04  
126000.E-01  1034.63E-05  1141.25E-04  
133000.E-01  1068.27E-05  1147.06E-04  
140000.E-01  1106.39E-05  1236.99E-04  
147000.E-01  1140.47E-05  1264.16E-04  
154000.E-01  1178.74E-05  1312.74E-04  
161000.E-01  1216.34E-05  1409.82E-04  
168000.E-01  1257.50E-05  1551.88E-04  
175000.E-01  1299.94E-05  1558.27E-04  
182000.E-01  1346.33E-05  1592.83E-04  
189000.E-01  1391.34E-05  1714.27E-04  
196000.E-01  1435.25E-05  1817.97E-04  
203000.E-01  1482.02E-05  1804.39E-04  
210000.E-01  1534.26E-05  1955.91E-04  
217000.E-01  1587.19E-05  2011.31E-04  
224000.E-01  1645.55E-05  2155.49E-04  
231000.E-01  1698.98E-05  2234.94E-04  
238000.E-01  1759.27E-05  2319.84E-04  
245000.E-01  1816.92E-05  2456.58E-04  
252000.E-01  1885.15E-05  2604.05E-04  
259000.E-01  1944.26E-05  2760.52E-04  
266000.E-01  2020.15E-05  2823.93E-04  
273000.E-01  2097.09E-05  2994.17E-04  
280000.E-01  2177.72E-05  3195.49E-04  
287000.E-01  2248.41E-05  3216.07E-04  
294000.E-01  2330.77E-05  3431.65E-04  
301000.E-01  2432.07E-05  3639.04E-04  
308000.E-01  2526.49E-05  3912.30E-04  
315000.E-01  2642.59E-05  4197.41E-04  
322000.E-01  2742.86E-05  4441.49E-04  
329000.E-01  2854.12E-05  4546.74E-04  
336000.E-01  2983.08E-05  4953.28E-04  
343000.E-01  3104.09E-05  5322.24E-04  
350000.E-01  3207.30E-05  5590.99E-04  
357000.E-01  3318.21E-05  5968.57E-04  
364000.E-01  3403.56E-05  6373.90E-04  
371000.E-01  3483.64E-05  6868.96E-04  
378000.E-01  3558.61E-05  7239.18E-04  
385000.E-01  3621.56E-05  7542.14E-04  
392000.E-01  3696.95E-05  7736.16E-04  
399000.E-01  3732.13E-05  7860.74E-04  
406000.E-01  3709.45E-05  7816.19E-04  
413000.E-01  3597.65E-05  7558.55E-04  
420000.E-01  3344.85E-05  7006.26E-04  
427000.E-01  3001.96E-05  6179.92E-04  
434000.E-01  2532.68E-05  5117.82E-04  
441000.E-01  2008.20E-05  4041.19E-04  
448000.E-01  1456.26E-05  2835.13E-04  
455000.E-01  9519.63E-06  1807.10E-04  
462000.E-01  5349.61E-06  9808.22E-05  
469000.E-01  2575.40E-06  4673.53E-05  
476000.E-01  1009.43E-06  1742.67E-05  
483000.E-01  3057.67E-07  5215.47E-06  
490000.E-01  7522.31E-08  1322.85E-06  
497000.E-01  1153.77E-08  1523.87E-07  
504000.E-01  3296.49E-09  4899.02E-08  
511000.E-01  0000.00E+00  0000.00E+00  
518000.E-01  0000.00E+00  0000.00E+00  
525000.E-01  0000.00E+00  0000.00E+00  
532000.E-01  0000.00E+00  0000.00E+00  
539000.E-01  0000.00E+00  0000.00E+00  
546000.E-01  0000.00E+00  0000.00E+00  
553000.E-01  0000.00E+00  0000.00E+00  
560000.E-01  0000.00E+00  0000.00E+00  
567000.E-01  0000.00E+00  0000.00E+00  
574000.E-01  0000.00E+00  0000.00E+00  
581000.E-01  0000.00E+00  0000.00E+00  
588000.E-01  0000.00E+00  0000.00E+00  
595000.E-01  0000.00E+00  0000.00E+00  
602000.E-01  0000.00E+00  0000.00E+00  
609000.E-01  0000.00E+00  0000.00E+00  
616000.E-01  0000.00E+00  0000.00E+00  
623000.E-01  0000.00E+00  0000.00E+00  
630000.E-01  0000.00E+00  0000.00E+00  
637000.E-01  0000.00E+00  0000.00E+00  
644000.E-01  0000.00E+00  0000.00E+00  
651000.E-01  0000.00E+00  0000.00E+00  
658000.E-01  0000.00E+00  0000.00E+00  
665000.E-01  0000.00E+00  0000.00E+00  
672000.E-01  0000.00E+00  0000.00E+00  
679000.E-01  0000.00E+00  0000.00E+00  
686000.E-01  0000.00E+00  0000.00E+00  
693000.E-01  0000.00E+00  0000.00E+00  
700000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
