============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 3000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.2598E+04  3.8899E+03  4.7623E+03
0000002   2.9961E+04  7.8001E+03 -9.2336E+03
0000003   3.8160E+04 -8.3521E+03 -7.0370E+03
0000004   4.3561E+04 -3.1918E+03 -8.0129E+03
0000005   4.2797E+04  9.7470E+03 -3.9983E+03
0000006   4.0523E+04  5.8976E+03  2.2404E+03
0000007   4.3877E+04 -1.3448E+03  2.9522E+03
0000008   4.4795E+04 -7.0747E+03  1.3975E+03
0000009   3.7247E+04 -2.5190E+03 -1.6468E+03
0000010   4.1031E+04  6.8066E+02  7.1404E+02
0000011   3.9219E+04  5.8367E+03 -8.8327E+03
0000012   4.0183E+04  5.6368E+03  4.4775E+03
0000013   4.2203E+04 -3.2978E+03  4.4537E+03
0000014   4.3019E+04  6.0793E+03 -3.7655E+03
0000015   3.7751E+04  1.9093E+03 -1.0164E+04
0000016   4.5525E+04 -5.8806E+03 -2.0382E+03
0000017   4.4461E+04  1.5372E+03 -5.3073E+03
0000018   4.3212E+04  7.0650E+03 -5.1948E+03
0000019   3.6878E+04 -8.9966E+03 -2.4548E+02
0000020   4.1108E+04 -5.8049E+03 -6.2735E+03
0000021   4.4079E+04 -2.4821E+03 -2.7066E+03
0000022   2.8125E+04  5.7289E+03 -1.5190E+03
0000023   3.5231E+04  1.1041E+04  2.0707E+03
0000024   4.4733E+04 -9.9213E+02  2.6690E+03
0000025   4.3283E+04 -1.2094E+03 -1.0558E+03
0000026   4.5765E+04  9.9130E+02  4.0121E+02
0000027   4.4370E+04  8.9613E+03  4.5002E+03
0000028   3.7054E+04 -7.6937E+02  1.5971E+03
0000029   4.2248E+04 -1.0642E+02  4.7690E+03
0000030   4.4153E+04 -6.4990E+02  1.0268E+03
0000031   4.0719E+04 -1.0413E+04  6.4113E+03
0000032   4.6060E+04  2.5465E+03 -4.8814E+03
0000033   3.6244E+04 -3.1629E+03 -2.1958E+03
0000034   3.9289E+04 -1.2717E+04 -3.8994E+03
0000035   4.4408E+04  5.5737E+03 -1.0470E+02
0000036   4.3441E+04 -7.0383E+03 -5.8130E+03
0000037   3.9223E+04  7.0222E+03  1.3868E+03
0000038   2.6815E+04  4.6366E+03 -1.7106E+03
0000039   4.4400E+04 -3.5232E+03 -4.9290E+03
0000040   4.0371E+04 -1.0370E+04  4.0254E+03
0000041   4.1258E+04  1.1419E+03  1.2922E+04
0000042   4.0319E+04  1.6004E+03  5.1805E+03
0000043   3.8037E+04 -4.9135E+03 -8.9003E+03
0000044   4.0654E+04 -6.4899E+03 -1.1047E+04
0000045   4.1352E+04 -7.1664E+03  5.4247E+02
0000046   3.9570E+04  3.4681E+03  2.8609E+03
0000047   4.5350E+04 -5.2183E+03 -7.6644E+03
0000048   4.0765E+04 -2.2984E+03 -8.8455E+03
0000049   4.2167E+04 -5.5253E+02  2.1007E+03
0000050   4.2299E+04  5.0614E+03  6.1098E+03
0000051   4.0122E+04  6.1775E+03  7.0462E+03
0000052   3.8269E+04  1.2348E+03  1.1539E+04
0000053   3.2564E+04  5.3105E+03  1.1571E+02
0000054   4.0926E+04  6.1493E+03  3.2342E+03
0000055   3.4933E+04  1.7286E+04 -3.4366E+03
0000056   4.4833E+04  2.6597E+03  6.6763E+03
0000057   4.5341E+04 -2.1907E+03 -1.9237E+03
0000058   4.2049E+04  2.2271E+03  3.3218E+03
0000059   4.4107E+04 -5.4760E+03 -1.0032E+04
0000060   4.0277E+04 -5.5452E+02  4.9582E+03
0000061   4.3407E+04  8.3145E+03 -1.8067E+03
0000062   3.8391E+04 -1.0084E+04 -5.6041E+03
0000063   3.3538E+04 -3.4438E+03  6.4307E+03
0000064   4.6552E+04  2.2900E+03 -4.7116E+03
0000065   4.6725E+04 -1.1648E+03 -4.7454E+02
0000066   4.3522E+04 -4.0431E+03 -7.9810E+03
0000067   4.1998E+04  1.8600E+03  1.1592E+03
0000068   4.1683E+04 -4.1448E+03  7.1587E+03
0000069   4.1689E+04 -3.1327E+03  5.9044E+03
0000070   3.9665E+04 -6.2610E+03 -9.2589E+03
0000071   4.0904E+04  4.3655E+03  3.7678E+03
0000072   3.7319E+04 -3.2797E+03  1.4689E+04
0000073   4.4411E+04 -5.1918E+03 -4.4324E+03
0000074   4.2919E+04 -1.4413E+03 -7.3944E+03
0000075   3.6314E+04 -5.7200E+02 -5.3356E+03
0000076   4.4918E+04  6.4914E+02  1.4089E+03
0000077   4.1672E+04  5.0397E+03 -4.7821E+03
0000078   4.2711E+04  3.8260E+03 -3.8000E+03
0000079   3.9622E+04  7.6078E+03 -6.6267E+03
0000080   3.9567E+04 -9.4536E+03  7.5671E+03
0000081   3.9320E+04 -9.2832E+03  5.1605E+03
0000082   4.3334E+04  4.5557E+02  1.7998E+03
0000083   4.1684E+04  5.8774E+03 -3.2197E+03
0000084   4.6352E+04 -2.6262E+03  7.5297E+02
0000085   3.7012E+04 -1.0554E+03 -4.2260E+03
0000086   4.5348E+04 -2.2734E+03 -3.2026E+02
0000087   4.4010E+04 -8.4285E+03  2.7085E+02
0000088   4.2655E+04 -1.7412E+03 -5.8141E+03
0000089   3.9812E+04  5.6397E+03  6.1860E+02
0000090   4.6085E+04 -8.1547E+02  2.2923E+03
0000091   4.4518E+04 -3.5112E+03 -1.2463E+03
0000092   4.0978E+04  3.9424E+03  5.9157E+03
0000093   3.9101E+04  4.7116E+03  7.3816E+03
0000094   4.1847E+04 -1.5263E+03  4.7083E+03
0000095   4.1137E+04 -5.8877E+03  5.8160E+03
0000096   4.0728E+04  8.8107E+02 -7.4925E+03
0000097   4.3454E+04  2.1513E+03 -7.4487E+03
0000098   3.9549E+04 -1.6347E+04  2.4378E+03
0000099   4.1098E+04  9.9502E+03  5.8181E+01
0000100   3.9001E+04 -1.5128E+03  1.0555E+04
0000101   4.2367E+04 -7.3570E+03 -5.0290E+03
0000102   3.9363E+04 -6.5772E+03  6.3229E+02
0000103   4.0325E+04 -6.1532E+03 -1.2848E+03
0000104   8.3673E+03 -1.8207E+04 -1.6842E+04
0000105   4.0510E+04  1.9401E+03  3.8190E+02
0000106   3.8586E+04 -7.0058E+03 -4.9760E+03
