============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 4000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+00 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.7811E+04  3.9438E+03  5.4245E+03
0000002   3.7191E+04  3.1515E+03 -1.8418E+04
0000003   4.3096E+04 -1.2228E+04 -3.7204E+03
0000004   5.1172E+04  5.9950E+03  7.4328E+00
0000005   5.0568E+04  2.1866E+03  7.4826E+03
0000006   5.0588E+04  1.1318E+04 -2.1972E+03
0000007   4.6159E+04 -4.4129E+03  9.4222E+03
0000008   4.6421E+04  3.5386E+03 -5.1438E+03
0000009   4.6858E+04  2.3479E+03  3.3302E+03
0000010   4.3285E+04  5.4844E+03 -9.6095E+03
0000011   4.6850E+04 -2.9746E+03  9.7403E+03
0000012   4.7719E+04 -4.2837E+03 -5.3269E+03
0000013   5.0038E+04  4.5575E+03  1.4694E+03
0000014   4.2742E+04  7.7763E+02  8.7931E+03
0000015   5.1441E+04 -5.9602E+03 -1.4742E+03
0000016   5.0178E+04 -5.9518E+03 -8.3249E+02
0000017   4.9541E+04  8.4062E+03 -1.4783E+03
0000018   4.4879E+04  2.0214E+03  1.1318E+04
0000019   4.6887E+04  7.8652E+03  2.5698E+03
0000020   4.7818E+04 -3.8456E+03 -1.3991E+03
0000021   3.2706E+04 -3.3353E+03  1.7256E+04
0000022   5.2632E+04  2.2112E+03  5.3886E+03
0000023   5.0846E+04 -3.1954E+03  1.3208E+03
0000024   5.3139E+04  3.4140E+02 -2.0708E+03
0000025   5.0181E+04  1.9480E+03  9.3746E+03
0000026   4.1535E+04  2.2373E+03 -5.8619E+01
0000027   4.7365E+04  4.5406E+03 -1.7462E+03
0000028   4.8602E+04 -4.3312E+03 -1.7867E+03
0000029   4.6562E+04 -7.9904E+03  1.5625E+03
0000030   5.1113E+04  4.4611E+03 -9.6477E+02
0000031   4.3985E+04  7.0651E+03  8.4179E+01
0000032   4.3527E+04  2.3835E+03 -1.5002E+04
0000033   4.8822E+04 -4.0025E+02  7.0447E+03
0000034   4.4963E+04  3.5080E+03 -4.2197E+03
0000035   4.3663E+04 -1.0833E+04 -3.6097E+03
0000036   4.6023E+04 -8.4755E+03  1.4070E+04
0000037   4.5789E+04 -8.6964E+03 -8.9706E+03
0000038   4.4647E+04  1.0250E+04  2.9596E+03
0000039   4.4689E+04 -7.1718E+03  2.6578E+03
0000040   2.3828E+04  1.7437E+03 -1.1753E+03
0000041   4.5913E+04 -2.9520E+03  6.0638E+03
0000042   4.7505E+04 -1.0479E+04  3.2371E+03
0000043   4.7467E+04 -7.4449E+03 -1.3601E+02
0000044   4.9588E+04 -3.6940E+03 -5.0329E+03
0000045   5.0837E+04  3.6537E+03 -2.2156E+02
0000046   4.9267E+04  5.4467E+03  3.5598E+03
0000047   4.7697E+04 -4.4550E+03  9.3010E+03
0000048   4.4381E+04  2.3008E+03  2.0641E+03
0000049   4.2329E+04  5.5527E+03  5.3479E+03
0000050   4.3186E+04  3.2149E+03 -2.2784E+03
0000051   4.6251E+04  1.4286E+03 -8.9066E+03
0000052   4.1277E+04  1.1715E+04 -1.3559E+04
0000053   5.0166E+04  5.8752E+03 -2.9013E+03
0000054   4.9854E+04  7.1753E+02  2.4680E+03
0000055   4.7446E+04  1.8862E+03 -3.8847E+03
0000056   5.2220E+04  5.9575E+03  7.6396E+03
0000057   4.5603E+04  2.0161E+02 -2.2828E+03
0000058   5.0370E+04  5.7789E+03  1.8295E+03
0000059   4.9267E+04 -2.3501E+03 -7.4662E+03
0000060   4.5983E+04 -3.1097E+03 -1.6717E+04
0000061   5.1302E+04  2.6917E+03  1.2518E+03
0000062   4.8318E+04 -1.7999E+02 -9.2218E+03
0000063   4.8549E+04  1.0286E+03  3.9820E+03
0000064   4.7938E+04  1.0092E+04  1.1641E+03
0000065   4.7628E+04 -4.0471E+03  4.6396E+03
0000066   4.5740E+04  2.1148E+03 -1.1870E+04
0000067   4.7006E+04 -4.7130E+03  3.1819E+02
0000068   4.7030E+04 -1.2050E+03  1.5608E+04
0000069   5.0125E+04 -8.5456E+03  5.5573E+03
0000070   4.9812E+04 -1.3407E+03  6.6783E+03
0000071   4.4547E+04 -1.0264E+04 -9.8941E+03
0000072   4.6296E+04 -5.9733E+03 -7.6998E+03
0000073   4.6543E+04  4.1596E+03  8.3496E+02
0000074   4.2226E+04  1.3342E+03 -9.4254E+03
0000075   4.7081E+04  5.6504E+03  4.1559E+03
0000076   4.8358E+04 -6.6057E+03 -3.8058E+03
0000077   4.8684E+04  1.4336E+03 -2.2686E+03
0000078   4.7420E+04 -1.9413E+03  1.6049E+03
0000079   4.8625E+04  2.2532E+03  1.0355E+03
0000080   4.5041E+04  8.1722E+01 -4.7521E+03
0000081   4.6763E+04  5.3563E+03  2.7282E+03
0000082   4.6057E+04  1.2460E+04 -4.3842E+03
0000083   4.6590E+04  6.7960E+02 -7.8837E+03
0000084   4.5104E+04 -1.5884E+01 -3.6581E+03
0000085   5.0183E+04  7.5215E+03  9.3874E+02
0000086   5.2396E+04 -1.7745E+03  1.8480E+03
0000087   4.8141E+04 -1.6169E+03 -5.6315E+03
0000088   4.8880E+04  3.0881E+03 -6.7452E+03
0000089   4.5595E+04  8.9651E+03 -1.0304E+04
0000090   4.6879E+04  8.3304E+03  2.9883E+03
0000091   4.6521E+04 -4.4288E+03 -6.4522E+03
0000092   5.0784E+04 -6.2386E+03  5.6018E+02
0000093   4.9159E+04 -1.3562E+04 -1.2097E+03
0000094   4.8671E+04 -1.1468E+04 -2.0831E+03
0000095   4.5360E+04  1.2492E+04 -4.1360E+03
0000096   4.9864E+04 -6.6106E+03  9.0171E+02
0000097   4.4674E+04 -5.5182E+03 -4.7709E+03
0000098   4.2051E+04 -1.9748E+03  2.2874E+03
0000099   4.8700E+04  7.7182E+03 -6.3992E+03
0000100   4.6005E+04 -3.3321E+03 -4.6798E+03
0000101   4.9199E+04  6.5192E+02  1.3573E+03
0000102   5.0844E+04  7.4231E+02  6.8992E+03
0000103   4.9281E+04 -3.4427E+03  9.5481E+03
0000104   5.3009E+04  7.8162E+01  2.1764E+03
0000105   4.8781E+04  1.5770E+03  1.3890E+03
0000106   4.6640E+04  1.3159E+04 -3.5677E+03
0000107   4.9384E+04  4.4110E+03  2.0741E+03
