============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Cu (29)   Ion Mass= 062.9300
Energy  = 2500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.9466E+04  3.2758E+03  4.1948E+03
0000002   2.9538E+04 -3.3621E+03 -5.2154E+03
0000003   3.7618E+04 -9.4679E+03  4.6710E+03
0000004   3.8666E+04 -1.9714E+03  5.0752E+03
0000005   3.8411E+04 -2.9061E+03  2.4911E+03
0000006   4.0985E+04 -4.5626E+03  4.1137E+02
0000007   3.9564E+04 -6.6367E+03  9.3621E+03
0000008   3.3993E+04 -2.2280E+03  5.3829E+03
0000009   4.1211E+04 -2.8509E+03 -1.3794E+03
0000010   3.5876E+04 -4.1522E+02  4.2972E+03
0000011   3.7118E+04 -7.3115E+02 -1.7410E+03
0000012   3.5461E+04 -1.9710E+03 -9.3899E+03
0000013   3.6926E+04  7.0506E+03  6.3717E+03
0000014   3.7937E+04  2.9774E+03 -6.2658E+03
0000015   4.0538E+04 -1.0774E+03  1.9121E+03
0000016   2.9847E+04  2.9399E+03 -3.3704E+03
0000017   3.8060E+04 -3.6943E+03 -3.2104E+03
0000018   4.0605E+04 -1.8817E+03  1.9761E+03
0000019   3.9664E+04 -4.6999E+02  5.6071E+03
0000020   3.8780E+04  4.0897E+03  7.4772E+03
0000021   3.2762E+04 -5.3165E+03 -8.6359E+02
0000022   3.4457E+04 -4.8932E+03  1.2422E+03
0000023   3.7431E+04  5.7800E+03  6.7771E+03
0000024   3.5252E+04  2.3328E+02  3.7630E+03
0000025   2.5148E+04  1.9528E+03 -1.3308E+04
0000026   4.0577E+04 -7.4064E+03 -6.0789E+03
0000027   4.1752E+04  3.1234E+03 -1.7327E+03
0000028   4.1356E+04  8.4637E+02  1.4835E+03
0000029   3.5690E+04 -1.8538E+03 -2.8520E+03
0000030   3.8184E+04 -7.4320E+03  3.9016E+03
0000031   3.1820E+04 -8.8898E+02  1.0967E+03
0000032   3.7618E+04 -6.6394E+02  4.1244E+03
0000033   3.9954E+04  1.4479E+03  2.4699E+03
0000034   3.5230E+04  2.6990E+03 -9.8100E+03
0000035   4.0049E+04  1.9411E+03 -9.2038E+02
0000036   3.7658E+04  4.6731E+02 -3.5298E+03
0000037   3.6799E+04 -7.3500E+01  1.9132E+03
0000038   3.5131E+04 -1.0861E+04 -3.2689E+03
0000039   3.8415E+04 -2.5714E+03  6.0734E+03
0000040   3.6374E+04 -1.9696E+03  4.2394E+03
0000041   3.5481E+04 -3.2511E+03  4.9320E+03
0000042   2.6679E+04 -6.9896E+02  1.3565E+03
0000043   4.0620E+04 -3.1147E+03 -1.5687E+03
0000044   3.6594E+04  1.0897E+04 -2.5964E+03
0000045   3.6749E+04 -2.0919E+03  7.5623E+03
0000046   3.7078E+04 -1.3996E+03  1.3556E+03
0000047   3.4406E+04 -8.6213E+02 -1.1612E+03
0000048   3.3956E+04 -9.9839E+03 -5.2870E+02
0000049   3.7726E+04 -7.6670E+03  8.4919E+03
0000050   3.5475E+04  2.4345E+03 -1.1402E+03
0000051   3.4534E+04  3.8976E+03 -1.0140E+03
0000052   4.0982E+04  1.3704E+02 -1.4444E+03
0000053   4.1031E+04  2.3484E+03 -2.2635E+03
0000054   3.5828E+04 -6.3345E+03 -4.8825E+03
0000055   3.6213E+04 -2.3571E+03 -5.2381E+03
0000056   3.8017E+04  4.9683E+03 -3.0792E+03
0000057   3.6643E+04 -4.9325E+03  8.2295E+03
0000058   3.4755E+04  6.8482E+03  8.3551E+03
0000059   3.2659E+04 -7.5486E+02 -3.3252E+03
0000060   3.6205E+04 -4.6927E+03 -6.4347E+03
0000061   2.7232E+04  3.5700E+03  3.5896E+03
0000062   4.1204E+04  4.4760E+02 -6.4433E+03
0000063   4.0384E+04 -9.1273E+02 -1.2530E+03
0000064   3.0651E+04 -4.2348E+03  1.6970E+03
0000065   3.7535E+04  9.1990E+02  4.9501E+03
0000066   4.1353E+04  9.6073E+03 -1.8303E+03
0000067   3.6447E+04 -5.0168E+03  1.0536E+03
0000068   3.8698E+04  6.4960E+03 -4.3307E+03
0000069   3.4418E+04  8.0054E+03  3.6482E+02
0000070   3.7595E+04  7.1704E+02 -3.5540E+03
0000071   3.8695E+04 -5.6598E+03  5.1062E+03
0000072   3.9788E+04  1.9844E+03 -2.3892E+03
0000073   4.0206E+04 -3.3768E+03  2.8765E+03
0000074   3.8882E+04  1.0118E+03 -4.6789E+03
0000075   3.6234E+04 -2.4972E+03 -1.0754E+03
0000076   3.7065E+04  3.6173E+03  4.5338E+03
0000077   3.8609E+04 -5.4117E+03  2.1315E+03
0000078   3.5615E+04 -2.3909E+03  7.4323E+03
0000079   3.8319E+04  2.9642E+03  5.6052E+03
0000080   3.3278E+04 -6.3684E+02  7.5672E+03
0000081   4.1249E+04  3.4724E+03  1.8957E+03
0000082   4.0215E+04  7.1815E+03  2.4856E+03
0000083   3.9945E+04 -5.2913E+03 -1.9856E+03
0000084   3.2318E+04  3.9189E+03  1.3713E+04
0000085   3.4919E+04 -6.3055E+03  7.7830E+02
0000086   3.6871E+04  5.4621E+03  3.1018E+03
0000087   3.8956E+04  3.4847E+03  3.2389E+03
0000088   3.6467E+04 -5.4712E+03 -6.7146E+03
0000089   3.4045E+04 -5.2337E+03 -8.3013E+03
0000090   3.5547E+04 -6.0663E+03 -5.6678E+02
0000091   3.8821E+04  3.5783E+03  8.8484E+02
0000092   4.0395E+04  2.2401E+03 -4.1268E+02
0000093   3.8859E+04 -1.8496E+03  3.8753E+03
0000094   4.1838E+04 -1.3864E+03 -1.7368E+03
0000095   3.3947E+04  2.0667E+02  4.1909E+03
0000096   4.1779E+04  2.4491E+02 -2.7115E+03
0000097   3.8454E+04 -4.7493E+03  6.9448E+03
0000098   3.6872E+04  5.1932E+02  8.3455E+03
0000099   3.5834E+04 -9.0691E+02  3.6127E+03
0000100   4.0681E+04  9.0444E+03  2.4816E+03
0000101   4.1844E+04  1.9279E+03  8.7963E+02
0000102   3.8800E+04  2.4116E+03 -3.3451E+03
0000103   3.8260E+04 -1.2347E+03 -4.6284E+03
0000104   3.3756E+04 -4.3948E+03  6.5615E+03
0000105   3.8453E+04  4.3212E+03 -4.7135E+03
0000106   3.6062E+04  8.2394E+03 -3.7977E+03
