============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Cu (29)   Ion Mass= 062.9300
Energy  = 4500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=800000.E-01 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.0808E+04  4.3591E+03  3.8163E+03
0000002   4.0762E+04 -6.5415E+03 -1.2697E+04
0000003   4.6665E+04  8.1980E+03 -8.3400E+03
0000004   5.2093E+04 -7.1052E+03  1.2839E+03
0000005   5.2312E+04  6.5542E+03  2.4862E+03
0000006   4.7791E+04 -1.2761E+03 -8.6216E+03
0000007   4.8894E+04  2.7375E+03 -4.1326E+02
0000008   5.5783E+04  4.4739E+03 -1.9699E+02
0000009   4.8681E+04  1.0909E+03  4.6521E+03
0000010   4.9111E+04  4.1598E+03  2.3911E+03
0000011   4.9766E+04  2.0522E+03  2.5610E+03
0000012   4.6230E+04 -2.3731E+03 -1.9161E+02
0000013   5.0075E+04 -1.2754E+03  7.3613E+03
0000014   5.0544E+04 -1.2806E+03 -8.4291E+03
0000015   4.7438E+04 -1.1346E+03  1.1250E+04
0000016   5.4791E+04  3.4263E+03 -3.3633E+03
0000017   5.2634E+04  6.1251E+03 -1.0020E+03
0000018   5.2294E+04 -8.3007E+03  1.8027E+01
0000019   4.7725E+04  2.8428E+03  8.6939E+03
0000020   4.9969E+04  6.2567E+03 -4.3249E+03
0000021   5.1517E+04  7.8167E+02  2.1304E+03
0000022   3.4327E+04  3.0901E+03 -6.5965E+03
0000023   4.8923E+04  8.1174E+03  1.3410E+04
0000024   5.4292E+04  2.6377E+03  2.4044E+03
0000025   5.4514E+04  1.1340E+03  1.1102E+03
0000026   5.1635E+04  3.5254E+03  5.6924E+03
0000027   5.0875E+04 -5.4832E+03 -4.2336E+03
0000028   5.2988E+04  1.9913E+03  8.3357E+03
0000029   5.2869E+04 -1.5754E+03  1.3409E+03
0000030   4.9782E+04  1.1877E+04 -2.2377E+03
0000031   5.4471E+04 -1.2039E+03 -4.2059E+03
0000032   4.5337E+04 -4.2863E+03  4.3125E+02
0000033   4.8747E+04 -1.2819E+04 -2.9150E+03
0000034   5.2990E+04  4.7003E+03  2.3513E+03
0000035   5.2243E+04 -3.7363E+03  6.3135E+03
0000036   4.8047E+04  2.0318E+03 -6.6695E+03
0000037   3.7565E+04  6.1793E+03 -9.6265E+03
0000038   5.1427E+04  5.7979E+03  4.9893E+03
0000039   4.9933E+04 -6.7753E+03 -6.9684E+03
0000040   5.1053E+04  6.3737E+03  5.5177E+03
0000041   5.0047E+04 -9.9652E+02 -3.8980E+03
0000042   4.8124E+04 -7.5708E+03  3.5188E+03
0000043   4.9656E+04  8.6610E+03 -8.6027E+03
0000044   5.0078E+04  6.5250E+03  4.9611E+02
0000045   5.1022E+04  2.9998E+03 -7.6700E+02
0000046   5.3030E+04 -5.5100E+03  3.8106E+03
0000047   4.8477E+04  3.8168E+03 -9.1161E+03
0000048   4.8469E+04 -2.3756E+03 -3.1343E+03
0000049   5.0908E+04  4.8988E+03 -2.8755E+03
0000050   4.9607E+04  8.7062E+03  4.1003E+03
0000051   5.1681E+04 -7.3206E+03  6.8450E+03
0000052   4.0636E+04 -1.7159E+04 -1.8729E+02
0000053   4.4917E+04  1.3893E+03  8.4604E+02
0000054   5.3674E+04 -1.6302E+03  7.2280E+03
0000055   5.3325E+04 -8.0606E+02 -4.3269E+02
0000056   4.3861E+04  4.6540E+03 -6.9910E+03
0000057   4.9488E+04 -6.7686E+03 -9.0809E+02
0000058   5.5836E+04 -7.2393E+01  2.9032E+03
0000059   4.9570E+04 -2.6881E+03 -1.9782E+02
0000060   5.0468E+04 -1.8252E+03 -3.1048E+03
0000061   5.1795E+04  8.2940E+02  5.8308E+03
0000062   4.9646E+04 -8.9532E+03  1.2850E+04
0000063   5.4624E+04  3.0935E+03  8.2300E+01
0000064   5.1163E+04 -8.3673E+03  3.9226E+03
0000065   4.9396E+04 -2.8761E+03  7.6358E+02
0000066   5.2952E+04 -8.6724E+03  3.4581E+03
0000067   4.8529E+04  5.2047E+03 -1.1021E+02
0000068   3.9638E+04  1.6508E+03 -1.3668E+04
0000069   5.1539E+04 -3.9886E+03 -5.1597E+03
0000070   4.5547E+04 -2.5981E+03  9.1115E+03
0000071   5.4302E+04 -3.0703E+03 -1.7115E+03
0000072   5.1958E+04  2.3078E+03 -6.9781E+02
0000073   4.7571E+04 -4.6524E+03  3.6424E+02
0000074   5.4002E+04  3.7047E+03  1.4522E+03
0000075   5.0338E+04 -6.6139E+03 -7.5410E+02
0000076   5.1891E+04 -2.2686E+03 -4.4830E+03
0000077   4.9599E+04  8.5697E+03 -2.5827E+03
0000078   4.9787E+04 -6.7425E+03 -1.0900E+04
0000079   5.1120E+04  7.0475E+03 -6.0916E+03
0000080   5.3496E+04  2.6798E+03  1.2889E+02
0000081   5.1791E+04  3.2584E+03 -4.2653E+03
0000082   5.3546E+04 -1.4387E+03  1.6957E+03
0000083   4.6449E+04  8.1313E+02 -1.1378E+03
0000084   5.0694E+04 -5.0287E+03 -3.5740E+02
0000085   5.3749E+04  4.8713E+03  3.9080E+03
0000086   5.1593E+04  9.0235E+01 -4.2804E+03
0000087   5.2717E+04  8.3482E+02  9.5644E+03
0000088   5.4793E+04  8.4618E+02 -1.7549E+03
0000089   5.3005E+04  5.2889E+03  1.0134E+02
0000090   5.3015E+04 -1.6244E+03 -1.5186E+03
0000091   4.4154E+04  9.1898E+03 -1.5725E+03
0000092   4.7979E+04 -9.2966E+03 -4.6454E+03
0000093   5.0426E+04 -5.1853E+03  2.7053E+03
0000094   5.0136E+04  5.4717E+03  3.3418E+03
0000095   4.6019E+04  9.4844E+03  8.1113E+03
0000096   5.1651E+04  8.8439E+02 -7.2494E+03
0000097   5.1535E+04  4.4745E+02  3.9840E+03
0000098   5.0718E+04  5.3356E+03  4.2692E+03
0000099   5.2097E+04 -9.2220E+02 -1.0441E+03
0000100   4.7362E+04 -3.8886E+03  8.7489E+03
0000101   3.6575E+04 -1.5810E+02 -4.3914E+02
0000102   5.1761E+04  7.8116E+03 -4.3301E+03
0000103   4.9201E+04  1.8837E+03 -4.9823E+03
0000104   5.1605E+04 -3.9812E+03 -1.6358E+02
0000105   5.4931E+04 -3.3757E+03  6.3153E+03
0000106   5.1961E+04 -2.0666E+03  9.0397E+03
